name,year
"""Dikiy"" (2009) {Den' VDV (#2.19)}",2009
"""Dikiy"" (2009) {Detyam do 16 (#2.9)}",2009
"""Dikiy"" (2009) {Dikiy & Lysyy (#2.23)}",2009
"""Dikiy"" (2009) {Dikiy vs Chingiz: Part One (#2.31)}",2009
"""Dikiy"" (2009) {Dikiy vs Chingiz: Part Two (#2.32)}",2009
"""Dikiy"" (2009) {Dusiny koshmary (#2.13)}",2009
"""Dikiy"" (2009) {Igra v 'cherniy yaschik' (#2.28)}",2009
"""Dikiy"" (2009) {Kidnapping (#2.15)}",2009
"""Dikiy"" (2009) {Krasnaya knopka (#2.6)}",2009
"""Dikiy"" (2009) {Lekarstvo na tot svet (#2.30)}",2009
"""Dikiy"" (2009) {Militseyskaya zarnitsa (#2.16)}",2009
"""Dikiy"" (2009) {Ne strelyaite v zhurnalista: Part one (#2.3)}",2009
"""Dikiy"" (2009) {Ne strelyaite v zhurnalista: Part two (#2.4)}",2009
"""Dikiy"" (2009) {Okhota na glukharya (#2.11)}",2009
"""Dikiy"" (2009) {Okhotnik za pensiey (#2.14)}",2009
"""Dikiy"" (2009) {Pobeg (#2.21)}",2009
"""Dikiy"" (2009) {Podpol'nye igry (#2.26)}",2009
"""Dikiy"" (2009) {Posledniy kinogeroy (#2.29)}",2009
"""Dikiy"" (2009) {Samogonschiki (#2.10)}",2009
"""Dikiy"" (2009) {Sanatoriy (#2.22)}",2009
"""Dikiy"" (2009) {Soblyudai distantsyu! (#2.27)}",2009
"""Dikiy"" (2009) {Stavki sdelany (#2.17)}",2009
"""Dikiy"" (2009) {Svad'ba Kochkina (#2.5)}",2009
"""Dikiy"" (2009) {Tretiy glazz (#2.7)}",2009
"""Dikiy"" (2009) {Zazubrennoe lezvie (#2.12)}",2009
"""Dikiy"" (2009) {Zolotoe dno (#2.24)}",2009
"""Dilettante"" (2016)",2016
"""Direktoriya smerti"" (1999)",1999
"""Diversant 2: Konets voyny"" (2007)",2007
"""Diversant"" (2004)",2004
"""Diversanty"" (2012)",2012
"""Dnevnik doktora Zaytsevoy 2"" (2012)",2012
"""Dnevnik doktora Zaytsevoy"" (2012)",2012
"""Dnevnik ubiytsy"" (2003)",2003
"""Dnevniki shougerlz"" (2012)",2012
"""Do smerti krasiva"" (2013)",2013
"""Do suda"" (2010)",2010
"""Dobroe imya"" (2014)",2014
"""Dobrogo zdorovitsa!"" (2012)",2012
"""Doch generala"" (2007)",2007
"""Dochki-materi"" (2007)",2007
"""Doktor Tyrsa"" (2011)",2011
"""Doktor Vorobev. Perechitivaya biografiyu"" (2012)",2012
"""Doktor Zhivago"" (2006)",2006
"""Dokumentalnaya kamera"" (2004)",2004
"""Dolgiy put domoy"" (2013)",2013
"""Dom 2"" (2004)",2004
"""Dom 2"" (2004) {(#1.4)}",2004
"""Dom bez vykhoda"" (2010)",2010
"""Dom kuvyrkom"" (2008)",2008
"""Dom na Ozyornoy"" (2009)",2009
"""Dom obraztsovogo soderzhaniya"" (2012)",2012
"""Dom s liliyami"" (2013)",2013
"""Dom s syurprizom"" (2009)",2009
"""Dom u bolshoi reki"" (2011)",2011
"""Dom"" (1995)",1995
"""Domashnyaya kuhnya"" (2014)",2014
"""Domik u reki"" (2014)",2014
"""Domrabotnitsa"" (2013)",2013
"""Doroga domoy"" (2014)",2014
"""Doroga na ostrov Paskhi"" (2012)",2012
"""Doroga v pustotu"" (2012)",2012
"""Dorogaya Masha Berezina"" (2005)",2005
